"","name","address","city","url"
"120","New Life Global Development","3323 Marengo Avenue","Altadena , CA 91001","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15616"
"155","Via Esperanza","626 N Pauline St","Anaheim, CA 92805","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15269"
"162","Salvation Army Anaheim Emergency Shelter","1300 S Lewis St","Anaheim, CA 92805","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15728"
"164","Santa Ana Lakewood Housing Coalition","2400 Katella Ave","Anaheim, CA 92806","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15802"
"218","Don Brown Shelter","1401 West 4th Street","Antioch, CA 94509","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7879"
"256","Arcata House","1005 11th Street","Arcata, CA 95521","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14203"
"263","ECHO (El Camino Homeless Organization)","6370 Atascadero Ave.","Atascadero, CA 93422","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20427"
"264","Auburn Temporary Homeless Shelter","11442 E Street","Auburn, CA 95603","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14389"
"271","The Mission At Kern County","816 E. 21st Street","Bakersfield, CA 93305","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11782"
"272","Bakersfield Homeless Center","1600 East Truxtun Ave","Bakersfield, CA 93305","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9622"
"273","Transitional Housing Center Bakersfield","100 & 102 Plymouth Ave","Bakersfield, CA 93308","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14588"
"274","California Veterans Assistance  Bakersfield","731 Decatur Street","Bakersfield, CA 93308","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14589"
"281","New Hope Village Inc","100 West Fredricks Street","Barstow, CA 92311","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7800"
"282","Haley House","P.O. Box 1781","Barstow, CA 92311","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7548"
"86","Love","2279 Willow Pass Road","Bay Point, CA 94565","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7717"
"106","Bell Shelter","5600 Rickenbacker Rd","Bell, CA 90201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13787"
"142","At The Fountain Transitional Living INC","9556 Flower St.#8","Bellflower, CA 90706","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13439"
"24","Berkeley Food and Housing, North County Women's Shelter","2140 Dwight Way","Berkeley, CA 94701","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15341"
"26","Women's Daytime Drop","2218 Acton Street","Berkeley, CA 94702","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15724"
"22","Berkeley Food and Housing Project","1901 Fairview St","Berkeley, CA 94704","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7174"
"25","Berkeley Food and Housing Men's Housing Program","2140 Dwight Way","Berkeley, CA 94704","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7153"
"32","Harrison House","711 Harrison","Berkeley, CA 94710","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15759"
"219","Shepherd's Gate","605 Sycamore Dr","Brentwood, CA 94513","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8039"
"146","First Southern Baptist","6801 Western Ave","Buena Park, CA 90621","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15052"
