"","name","address","city","url"
"1","Harmony Family Services Emergency Shelter For Children","305 Grape St","Abilene, TX 79601","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11480"
"3","Abilene Hope Haven","801 S. Treadaway Blvd.","Abilene, TX 79602","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7096"
"4","Salvation Army Abilene Homeless Shelter","1726 Butternut St","Abilene, TX 79602","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11481"
"2","Love and Care Ministries Homeless Assistance","233 Fannin St","Abilene, TX 79603","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11482"
"28","Family Promise Collin County","PO Box 1601","Allen, TX 75002","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13731"
"91","City of Refuge (day refuge","613 S. Adams","Amarillo, TX 79101","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7316"
"92","Downtown Women's Center","409 S. Monroe St.","Amarillo, TX 79101","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7404"
"93","Salvation Army of Amarillo Shelter","400 S. Harrison St.","Amarillo, TX 79101","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16002"
"94","Another Chance House","209 S. Jackson","Amarillo, TX 79101","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8315"
"95","Guyon Saunders Resource Center","200 South Tyler St.","Amarillo, TX 79101","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14315"
"97","Family Support Services","7136 West Interstate 40 Suite B","Amarillo, TX 79101","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7458"
"90","Martha's Home Inc.","1204 W. 18th Ave.","Amarillo, TX 79102","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7741"
"96","Faith City Mission","600 N Tyler St","Amarillo, TX 79107","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7447"
"98","Patsy's Place Transitional Home","PO Box 7160","Amarillo, TX 79114","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=16003"
"35","Safehaven of Tarrant County","401 W Sanford St #1400","Arlington, TX 76004","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7134"
"39","Arlington Family Life Shelter","712 West Abram","Arlington, TX 76004","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13732"
"37","Mission Arlington","210 W. South St.","Arlington, TX 76010","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7771"
"36","Arlington Life Shelter","325 W. Division Street","Arlington, TX 76011","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7132"
"115","Austin Resource Center for the Homeless","500 E. 7th","Austin, TX 78701","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7090"
