"","name","address","city","url"
"2","Grays Harbor Youth Center","111 E. 4th Street","Aberdeen, WA 98520","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9530"
"3","Union Gospel Mission of Grays Harbor","405 East Heron","Aberdeen, WA 98520","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8175"
"4","Esther Women's Shelter","807 W 1st St","Aberdeen, WA 98520","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15027"
"1","Faithhouse Ministries","211 East Wishkah","Aberdeen, WA 98550","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11764"
"12","Anacortes Family Center","1011 27th St, P. O. Box 681","Anacortes, WA 98221","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10096"
"74","Hands Together Cold Weather Shelter","PO Box 266","Arlington, WA 98223","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11923"
"81","Arcadia Shelter","702 10th St Ne","Auburn, WA 98002","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15609"
"106","Congregations for the Homeless","515 116th Ave NE #150","Bellevue, WA 98004","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14206"
"107","Men's Eastside Winter Shelter","515B 116th Ave NE","Bellevue, WA 98004","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14788"
"116","Sophia's Place","3032 Bellevue Way NE","Bellevue, WA 98004","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15707"
"101","Mamma's Hands, House of Hope","po box 40464","Bellevue, WA 98015","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15295"
"21","LightHouse Mission Shelter","1013 West Holly Street","Bellingham, WA 2932","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15069"
"17","Whatcom Housing Programs","1020 N State St","Bellingham, WA 98225","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14451"
"18","The PAD","1020 N. State St.","Bellingham, WA 98225","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14452"
"19","YWCA Transitional Housing","1026 N. Forest St.","Bellingham, WA 98225","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14457"
"20","Lighthouse Mission","910 West Holly Street","Bellingham, WA 98225","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7708"
"22","Hope House Multi Service Center","207 Kentucky Street","Bellingham, WA 98226","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15035"
"124","Oasis Teen Shelter","822 Burwell St","Bremerton, WA 98337","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12808"
"87","Damascus Home Community Center","22608 Marine View Drive So., suite 100","Des Moines, WA 98198","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20331"
"75","Snohomish County Human Services","Department 3000 Rockefeller Ave.  M/S 305","Everett, WA 98201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8047"
"76","Cocoon House For Teens","2929 Pine St","Everett, WA 98201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12645"
"77","Everett Gospel Mission Men's Shelter","3711 Smith Ave","Everett, WA 98201","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15348"
"78","Everett Gospel Mission Women and Children's Shelter","5126 S 2nd Ave","Everett, WA 98203","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15349"
"79","Housing Hope","5830 Evergreen Way","Everett, WA 98203","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15028"
"113","Mamma's Hands","27701 SE 26th Way","Fall City, WA 98024","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7731"
"82","Multi","1200 S 336th St.","Federal Way, WA 98003","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7785"
"83","Federal Way Day Center","33505 13th Ave S #D","Federal Way, WA 98093","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15034"
"84","REACH OUT Homeless Winter Shelter Program","1229 W Smith St","Kent, WA 98032","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15716"
"85","Home Program Kent WA","1229 W Smith St","Kent, WA 98032","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15156"
"86","ARISE Shelter Kent","1229 W Smith St","Kent, WA 98032","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14329"
"119","The New Bethlehem Day Center","11920 Ne 80th St, Suite 100","Kirkland, WA 98033","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15241"
"120","Eastside Emergency Shelter","701 1st Street","Kirkland, WA 98033","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15711"
"122","Welcome Home Society","18403 Ballinger Way Ne","Lake Forest Park, WA 98155","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8216"
"137","Community House on Broadway","1107 Broadway","Longview, WA 98632","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10492"
"123","New Way Ministries","205 S. BC Ave., Suite 117","Lynden, WA 98264","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14456"
"14","Oasis Teen Shelter","125 North Fift Street","Mount Vernon, WA 98273","https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9545"
